run_name,agent,model,backend,task,trial,reward,passed,weighted_gen_tok_s,model_baseline,valid,reason
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,code-from-image,code-from-image__98USAhP,0.0,0,24.57,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,headless-terminal,headless-terminal__Xi6vniT,0.0,0,26.67,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,pypi-server,pypi-server__pCPyeQh,0.0,0,31.95,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,winning-avg-corewars,winning-avg-corewars__SV9z5Yn,0.0,0,31.98,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,git-leak-recovery,git-leak-recovery__KqsPNDC,0.0,0,24.66,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,polyglot-c-py,polyglot-c-py__Qz2UGgc,,0,,28.55,0,ungraded
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,cobol-modernization,cobol-modernization__26xvLJm,0.0,0,30.36,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,build-pov-ray,build-pov-ray__aQ7SWgu,0.0,0,26.91,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,fix-git,fix-git__M9rpqMn,0.0,0,32.56,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,kv-store-grpc,kv-store-grpc__heGVFC4,0.0,0,24.76,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,schemelike-metacircular-eval,schemelike-metacircular-eval__fu8jwj3,0.0,0,29.9,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,build-pmars,build-pmars__oNBL4bf,0.0,0,,28.55,1,valid
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,prove-plus-comm,prove-plus-comm__AN8iBfx,0.0,0,33.65,28.55,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,polyglot-c-py,polyglot-c-py__SnYZpF5,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,prove-plus-comm,prove-plus-comm__QH23w8o,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,cobol-modernization,cobol-modernization__g3Y9X5B,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,fix-git,fix-git__Z8WAj5m,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,build-pmars,build-pmars__KXCwBp8,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,headless-terminal,headless-terminal__ydPYWLZ,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,code-from-image,code-from-image__kZQkpyi,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,build-pov-ray,build-pov-ray__EHt4CvA,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,git-leak-recovery,git-leak-recovery__RD4wrV3,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,winning-avg-corewars,winning-avg-corewars__vZDvLDF,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,kv-store-grpc,kv-store-grpc__EXyXyhP,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,pypi-server,pypi-server__ujgubnv,0.0,0,,,1,valid
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,schemelike-metacircular-eval,schemelike-metacircular-eval__puyRMcm,0.0,0,,,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,kv-store-grpc,kv-store-grpc__UYFhFoB,0.0,0,47.23,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,prove-plus-comm,prove-plus-comm__DexYM98,0.0,0,45.45,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,build-pmars,build-pmars__A4Viu8A,0.0,0,,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,pypi-server,pypi-server__Q9TTNtR,0.0,0,34.55,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,schemelike-metacircular-eval,schemelike-metacircular-eval__fbqDXHP,0.0,0,33.1,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,fix-git,fix-git__6DSFySF,1.0,1,43.65,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,polyglot-c-py,polyglot-c-py__JgbAHWw,,0,,45.78,0,ungraded
