run_name,agent,model,task,trial,backend,source,reward,graded,passed,n_calls,sum_completion_tokens,sum_prompt_tokens,max_prompt_tokens,weighted_gen_tok_s,n_truncated
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,code-from-image,code-from-image__98USAhP,local,terminal-bench,0.0,1,0,2,69,15698,7911,24.57,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,terminal-bench,0.0,1,0,41,10586,707626,32727,26.67,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,pypi-server,pypi-server__pCPyeQh,local,terminal-bench,0.0,1,0,31,2639,324789,13735,31.95,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,winning-avg-corewars,winning-avg-corewars__SV9z5Yn,local,terminal-bench,0.0,1,0,29,1592,333773,14171,31.98,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,git-leak-recovery,git-leak-recovery__KqsPNDC,local,terminal-bench,0.0,1,0,85,5762,1616208,32642,24.66,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,polyglot-c-py,polyglot-c-py__Qz2UGgc,local,terminal-bench,,0,0,0,0,0,0,,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,cobol-modernization,cobol-modernization__26xvLJm,local,terminal-bench,0.0,1,0,14,5823,164376,15877,30.36,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,build-pov-ray,build-pov-ray__aQ7SWgu,local,terminal-bench,0.0,1,0,100,7346,2060370,32738,26.91,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,fix-git,fix-git__M9rpqMn,local,terminal-bench,0.0,1,0,17,714,181491,15639,32.56,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,kv-store-grpc,kv-store-grpc__heGVFC4,local,terminal-bench,0.0,1,0,156,7086,3383563,32767,24.76,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,schemelike-metacircular-eval,schemelike-metacircular-eval__fu8jwj3,local,terminal-bench,0.0,1,0,24,1669,358397,19032,29.9,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,build-pmars,build-pmars__oNBL4bf,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,prove-plus-comm,prove-plus-comm__AN8iBfx,local,terminal-bench,0.0,1,0,11,1154,95395,9593,33.65,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,polyglot-c-py,polyglot-c-py__SnYZpF5,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,prove-plus-comm,prove-plus-comm__QH23w8o,hosted,terminal-bench,0.0,1,0,17,599,57978,4047,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,cobol-modernization,cobol-modernization__g3Y9X5B,hosted,terminal-bench,0.0,1,0,340,57354,13146229,75384,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,fix-git,fix-git__Z8WAj5m,hosted,terminal-bench,0.0,1,0,400,49538,14482923,70052,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,build-pmars,build-pmars__KXCwBp8,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,headless-terminal,headless-terminal__ydPYWLZ,hosted,terminal-bench,0.0,1,0,7,114688,364469,101357,,7
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,code-from-image,code-from-image__kZQkpyi,hosted,terminal-bench,0.0,1,0,2,75,5468,2772,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,build-pov-ray,build-pov-ray__EHt4CvA,hosted,terminal-bench,0.0,1,0,17,266055,1927343,239312,,16
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,git-leak-recovery,git-leak-recovery__RD4wrV3,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,winning-avg-corewars,winning-avg-corewars__vZDvLDF,hosted,terminal-bench,0.0,1,0,8,394,26463,3600,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,kv-store-grpc,kv-store-grpc__EXyXyhP,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,pypi-server,pypi-server__ujgubnv,hosted,terminal-bench,0.0,1,0,15,1275,59257,4698,,0
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,schemelike-metacircular-eval,schemelike-metacircular-eval__puyRMcm,hosted,terminal-bench,0.0,1,0,4,158,12236,3178,,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,kv-store-grpc,kv-store-grpc__UYFhFoB,local,terminal-bench,0.0,1,0,5,718,44028,9300,47.23,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,prove-plus-comm,prove-plus-comm__DexYM98,local,terminal-bench,0.0,1,0,13,4236,119105,10605,45.45,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,build-pmars,build-pmars__A4Viu8A,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,pypi-server,pypi-server__Q9TTNtR,local,terminal-bench,0.0,1,0,92,12333,1677323,27854,34.55,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,schemelike-metacircular-eval,schemelike-metacircular-eval__fbqDXHP,local,terminal-bench,0.0,1,0,26,12305,413686,30391,33.1,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,fix-git,fix-git__6DSFySF,local,terminal-bench,1.0,1,1,20,2848,210332,13860,43.65,0
